城市,City,Lon,Lat
香港,Hong Kong,114.1861241,22.29358599
澳门,Macau,113.5575191,22.20411799
北京,Beijing,116.395645,39.92998578
天津,Tianjin,117.2108131,39.1439299
上海,Shanghai,121.4878995,31.24916171
重庆,Chongqing,106.530635,29.54460611
石家庄,Shijiazhuang,114.5220818,38.04895831
唐山,Tangshan,118.1834506,39.65053092
秦皇岛,Qinhuangdao,119.6043676,39.94546157
邯郸,Handan,114.4826939,36.60930793
邢台,Xingtai,114.5204868,37.0695312
保定,Baoding,115.4948102,38.88656455
张家口,Zhangjiakou,114.8937815,40.81118849
承德,Chengde,117.9338225,40.99252105
沧州,Cangzhou,116.8638065,38.29761535
廊坊,Langfang,116.7036022,39.51861063
衡水,Hengshui,115.6862287,37.74692905
太原,Taiyuan,112.5508636,37.89027705
大同,Datong,113.2905087,40.1137445
阳泉,Yangquan,113.5692376,37.86952949
长治,Changzhi,113.1202921,36.20166439
晋城,Jincheng,112.8673328,35.49983447
朔州,Shuozhou,112.4799277,39.33767197
晋中,Jinzhong,112.7385144,37.69336153
运城,Yuncheng,111.0068537,35.03885948
忻州,Xinzhou,112.7279388,38.46103057
临汾,Linfen,111.5387876,36.09974544
吕梁,Lvliang,111.1431566,37.5273161
呼和浩特,Hohhot,111.6603505,40.82831887
包头,Baotou,109.8462385,40.64711943
乌海,Wuhai,106.8319991,39.68317701
赤峰,Chifeng,118.9307612,42.29711232
通辽,Tongliao,122.2603633,43.63375607
鄂尔多斯,Erdos,109.9937063,39.81648956
呼伦贝尔,Hulunbuir,119.7608218,49.20163605
巴彦淖尔,Bayannur,107.4238067,40.7691799
乌兰察布,Ulanqab,113.1128464,41.02236295
沈阳,Shenyang,123.4327909,41.80864478
大连,Dalian,121.5934778,38.94870994
鞍山,Anshan,123.0077633,41.11874368
抚顺,Fushun,123.9298198,41.87730383
本溪,Benxi,123.7780624,41.32583763
丹东,Dandong,124.3385431,40.12902283
锦州,Jinzhou,121.1477487,41.13087888
营口,Yingkou,122.2333914,40.66865107
阜新,Fuxin,121.6608221,42.01925011
辽阳,Liaoyang,123.1724512,41.27333927
盘锦,Panjin,122.0732278,41.14124802
铁岭,Tiding,123.8548496,42.29975701
朝阳,Chaoyang,116.5216949,39.95895317
葫芦岛,Huludao,120.8607576,40.74302988
长春,Changchun,125.3136424,43.89833761
四平,Siping,124.3913821,43.1755247
辽源,Liaoyuan,125.1336861,42.92330262
通化,Tonghua,125.9426501,41.73639713
白山,Baishan,126.4357977,41.9458594
松原,Songyuan,124.8329945,45.13604897
白城,Baicheng,122.8407767,45.62108628
哈尔滨,Harbin,126.6577169,45.77322463
齐齐哈尔,Qiqihar,123.9872889,47.34769981
鸡西,Jixi,130.9417673,45.32153989
鹤岗,Hegang,130.2924721,47.3386659
双鸭山,Shuangyashan,131.1714017,46.65510206
大庆,Daqing,125.0218397,46.59670902
伊春,Yichun1,128.910766,47.73468508
佳木斯,Jiamusi,130.2847346,46.8137796
七台河,Qitaihe,131.019048,45.77500537
牡丹江,Mudanjiang,129.6080354,44.58852115
黑河,Heihe,127.5008303,50.25069009
绥化,Suihua,126.9890946,46.64606393
南京,Nanjing,118.7780744,32.0572355
无锡,Wuxi,120.3054559,31.57003745
徐州,Xuzhou,117.1881066,34.27155343
常州,Changzhou,119.981861,31.77139674
苏州,Suzhou1,120.6199071,31.31798737
南通,Nantong,120.873801,32.01466454
连云港,Lianyungang,119.1738722,34.60154897
淮安,Huai'an,119.0301864,33.60651274
盐城,Yancheng,120.1488718,33.37986188
扬州,Yangzhou,119.4277776,32.40850525
镇江,Zhenjiang,119.4558354,32.20440944
泰州,Taizhou1,119.919606,32.47605327
宿迁,Suqian,118.2968934,33.95204973
杭州,Hangzhou,120.2193754,30.25924446
宁波,Ningbo,121.579006,29.88525897
温州,Wenzhou,120.6906347,28.00283759
嘉兴,Jiaxing,120.7604277,30.77399224
湖州,Huzhou,120.1372432,30.87792516
绍兴,Shaoxing,120.5924674,30.00236458
金华,Jinhua,119.6525757,29.10289911
衢州,Quzhou,118.8758417,28.95691045
舟山,Zhoushan,122.1698721,30.0360103
台州,Taizhou2,121.4406129,28.66828329
丽水,Lishui,119.9295758,28.45629955
合肥,Hefei,117.2826991,31.86694226
芜湖,Wuhu,118.3841084,31.36601979
蚌埠,Bengbu,117.3570799,32.92949891
淮南,Huainan,117.0186389,32.64281182
马鞍山,Maanshan,118.5158818,31.68852816
淮北,Huaibei,116.7914474,33.96002331
铜陵,Tongling,117.8194287,30.94092969
安庆,Anqing,117.0587388,30.53789782
黄山,Huangshan,118.2935696,29.73443486
滁州,Chuzhou,118.3245704,32.3173506
阜阳,Fuyang,115.8209323,32.90121133
宿州,Suzhou2,116.9886924,33.63677239
六安,Lu'an,116.5052527,31.75555836
